Usuario,Comentario,Calificación
Un usuario de Google,excelente,5
Un usuario de Google,muy bueno para el trabajo,5
Un usuario de Google,"desde ayer no puedo hacer pago efectivo, igual intente en banca por Internet y nada, que paso?",1
Un usuario de Google,muy buena 👍,5
Un usuario de Google,No sé puede descargar la actualización y por ende es imposible utilizar el apo,4
Un usuario de Google,no puedo ingresar,1
Un usuario de Google,"no me funciona desde hace unos meses, instalo y desinstalo y nada :(",1
Un usuario de Google,es dificultoso,1
Un usuario de Google,no se puede ingresar con huella digital,3
Un usuario de Google,Deben de poner un notificado de deposito,3
Un usuario de Google,Bien,5
Un usuario de Google,Genial!!,5
Un usuario de Google,"Pésima aplicación, lo peor es que el banco no te deja hacer nada a tu cuenta fuera de la app, y la app no te deja entrar si no le das los datos de tu cara, no hay más opciones, entonces o me das datos de tu cara o no te dejo ver tu cuenta un claro chantaje",5
Un usuario de Google,lo maximo,5
Un usuario de Google,muy bien,4
